|ID|       |Name|                                   |Priority|
5404       svchost                                  8         
5116       AsusSystemAnalysis                       8         
11436      RuntimeBroker                            8         
3672       atieclxx                                 8         
1516       services                                 9         
6256       svchost                                  8         
16596      chrome                                   4         
3664       svchost                                  8         
17024      OneDrive                                 8         
1936       dwm                                      13        
21156      jucheck                                  8         
3656       svchost                                  8         
4516       svchost                                  8         
3648       svchost                                  8         
4032       WINWORD                                  8         
2784       svchost                                  8         
10972      RuntimeBroker                            8         
13328      RuntimeBroker                            8         
3640       svchost                                  8         
11828      YourPhone                                8         
4500       svchost                                  8         
3636       asus_framework                           6         
4496       AcPowerNotification                      6         
616        svchost                                  8         
1476       winlogon                                 13        
16560      UserOOBEBroker                           8         
15696      devenv                                   8         
8368       nvcontainer                              8         
19140      ServiceHub.RoslynCodeAnalysisService     8         
2152       svchost                                  8         
19568      ServiceHub.IdentityHost                  8         
172        Registry                                 8         
6204       svchost                                  8         
2324       svchost                                  8         
3184       svchost                                  8         
4476       conhost                                  8         
25244      ScriptedSandbox64                        8         
18696      ServiceHub.VSDetouredHost                8         
2316       svchost                                  8         
3176       svchost                                  8         
13948      RuntimeBroker                            8         
16040      ScriptedSandbox64                        8         
2308       svchost                                  8         
13336      dllhost                                  8         
3168       svchost                                  8         
580        smss                                     11        
11868      ServiceHub.VSDetouredHost                8         
14364      svchost                                  8         
12208      RuntimeBroker                            8         
10020      svchost                                  8         
16084      chrome                                   4         
3584       NVDisplay.Container                      8         
1856       svchost                                  8         
7456       ApplicationFrameHost                     8         
5300       niauth_daemon                            8         
14904      chrome                                   8         
4432       wlanext                                  8         
4000       WmiPrvSE                                 8         
12092      svchost                                  8         
4852       RuntimeBroker                            8         
10884      svchost                                  8         
1400       svchost                                  8         
8292       NisSrv                                   8         
2688       svchost                                  8         
3548       svchost                                  8         
15180      WINWORD                                  8         
12276      unsecapp                                 8         
10868      ArmourySwAgent                           6         
18896      devenv                                   8         
8708       svchost                                  8         
1376       wininit                                  13        
2924       svchost                                  8         
3096       NVDisplay.Container                      8         
15772      chrome                                   8         
1800       svchost                                  8         
9556       ctfmon                                   13        
12784      RuntimeBroker                            8         
14080      NVIDIA Share                             8         
5380       nisvcloc                                 8         
9548       explorer                                 8         
17736      jusched                                  8         
1396       csrss                                    13        
5224       svchost                                  8         
10072      conhost                                  6         
6084       lkads                                    8         
24140      chrome                                   4         
5216       ServiceHub.Host.CLR.x86                  8         
3060       ServiceHub.Host.CLR.x86                  8         
6076       svchost                                  8         
14372      Microsoft.ServiceHub.Controller          8         
2624       svchost                                  8         
2192       svchost                                  8         
5208       ServiceHub.Host.CLR.x64                  8         
4344       svchost                                  8         
9084       nvcontainer                              8         
12100      chrome                                   8         
14684      chrome                                   8         
20716      ServiceHub.Host.CLR.x86                  8         
4336       AsusOptimization                         8         
6920       niDiscSvc                                8         
2608       svchost                                  8         
2176       svchost                                  8         
19844      ServiceHub.SettingsHost                  8         
9928       NVIDIA Web Helper                        6         
12736      Microsoft.ServiceHub.Controller          8         
6328       WmiPrvSE                                 8         
14688      dllhost                                  8         
5612       MsMpEng                                  8         
4          System                                   8         
12056      Telegram                                 8         
6408       nidmsrv                                  8         
0          Idle                                     0         
